feature,importance
candidate_popularity,6
candidate_category,5
rest_avg_margin,3
has_main,3
city,2
rest_cuisine,2
user_is_veg,2
step,1
user_segment,1
candidate_slot_urgency,1
aov_lift_if_added,1
has_side,1
cart_total,1
has_drink,1
user_orders_30d,0
user_cuisine_affinity,0
user_addon_rate_30d,0
user_drink_rate_30d,0
user_dessert_rate_30d,0
user_addon_rate_this_slot,0
user_price_upgrade_tendency,0
user_days_since_last_order,0
has_snack,0
user_orders_per_month,0
user_orders_7d,0
user_median_item_price_90d,0
is_cold_start,0
rest_price_tier,0
rest_rating,0
meal_slot,0
user_ordered_before,0
cart_size,0
has_dessert,0
candidate_in_price_sweet_spot,0
candidate_cuisine_tag,0
candidate_price,0
candidate_is_veg,0
candidate_calories,0
candidate_margin_score,0
candidate_revenue_potential,0
price_delta_cart_avg,0
user_avg_order_value,0
pair_max_lift,0
hour,0
weather_temp_c,0
is_hot_weather,0
weather_drink_affinity,0
cart_momentum,0
pair_seen_before_flag,0
